Sigla da IES;Instituição;Patente;Autores
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PROCESSO DE OBTENÇÃO DE CALCOGENOÉSTERES, COMPOSTO OBTIDO PELO PROCESSO E USO;['ROBERTO CHRIST VIANNA SANTOS', 'OSCAR ENDRIGO DORNELES RODRIGUES']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;NANOPLAQUETA FUNCIONALIZADA, PROCESSO DE OBTENÇÃO DA NANOPLAQUETA FUNCIONALIZADA, USO DA NANOPLAQUETA FUNCIONALIZADA, REVESTIMENTO EM PÓ, PROCESSO DE OBTENÇÃO DO REVESTIMENTO EM PÓ E USO DO REVESTIMENTO EM PÓ;['DIEGO PIAZZA']
FEEVALE;UNIVERSIDADE FEEVALE;PROCESSO DE OBTENÇÃO DE EXTRATO SECO PADRONIZADO POR SPRAY-DRYING A PARTIR DAS FOLHAS DE EUGENIA UNIFLORA, E EXTRATO SECO OBTIDO;['SIMONE GASPARIN VERZA', 'TATIANA DE OLIVEIRA FURTADO', 'LUANA PONS POSSER', 'NATALIA DALANHOL DE QUADROS', 'FERNANDO DAL PONT MORISSO', 'ANDRESA HEEMANN BETTI', 'JULIANE DEISE FLECK']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO PARA O PREPARO DE NANOCOMPÓSITO DE NANOPLAQUETA NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA, NANOCOMPÓSITO DE NANOCARGAS DE GRAFENO EM MATRIZ TERMOPLÁSTICA E USO DO NANOCOMPÓSITO. 2024, BRASIL.;['RENAN DEMORI', 'PEREIRA, M. B.', 'TIAGO MARCELO REIS', 'JANAINA DA SILVA CRESPO', 'ALEXANDRE FASSINI MICHELS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;SUPLEMENTO ALIMENTAR EM PÓ CONTENDO COMBINAÇÃO DE FARINHA DE CAROÇO DE AÇAÍ E MICROALGA(S) OU COMBINAÇÃO DE FARINHA DE CAROÇO DE AÇAÍ E POLPA DE AÇAÍ, DESTINADOS À POPULAÇÃO IDOSA;['JORGE ALBERTO VIEIRA COSTA', 'CAROLINI BRAVO TRINDADE', 'LUIZA MORAES', 'MICHELE GREQUE DE MORAIS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;EFEITO ANTIDEPRESSIVO DO BENZOATO DE 3-[(4-FLUORFENIL)SELENIL]PROP-2-IN-1-ILA;['CRISTIANI FOLHARINI BORTOLATTO', 'MARCELO HEINEMANN PRESA', 'NARRYMAN PINTO ZUGE', 'MARCIA JUCIELE DA ROCHA', 'CESAR AUGUSTO BRUNING', 'BENHUR DE GODOI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ÓLEO DE COCO COM MICROALGAS PARA APLICAÇÕES ALIMENTARES E EM COSMÉTICOS;['VINICIUS FARIAS CAMPOS', 'PATRICIA DE MOURA ALMEIDA', 'NYELSON DA SILVA NONATO', 'MARIA HELENA JUVITO DA COSTA', 'LUCAS PETITEMBERTE DE SOUZA', 'CRISTIANE FRANCISCA DA COSTA SASSI', 'ANDRESSA COIMBRA PEREIRA', 'WILLIAM BORGES DOMINGUES']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO IMPLEMENTADO POR COMPUTADOR PARA SEGMENTAÇÃO E EXTRAÇÃO DE REDE TOPOLÓGICA DE FRATURAS EM ATRIBUTOS SÍSMICOS;['DELANO MENECUCCI IBANEZ', 'RODRIGO BAZO', 'LEANDRO TONIETTO', 'LUIZ GONZAGA DA SILVEIRA JUNIOR', 'ENIUCE MENEZES DE SOUZA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;OBTENÇÃO DE SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA PARA DETERMINAÇÃO DE TARTRAZINA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'EDUARDO SILVEIRA RIBEIRO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'DAIANE DIAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA RECOMBINANTE DE ROTAVÍRUS G3P[12] E G14P[12] PARA USO COMO IMUNOBIOLÓGICO;['FABIO PEREIRA LEIVAS LEITE', 'VITORIA SEQUEIRA GONCALVES', 'CARLOS EDUARDO WAYNE NOGUEIRA', 'NEIDA LUCIA CONRAD', 'RODRIGO CASQUERO CUNHA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE MONITORAMENTO DE PRESSÃO PARA CIRCUITOS PNEUMÁTICOS;['FABRICIO ARDAIS MEDEIROS', 'MARLON SOARES SIGALES', 'HENRIQUE GONCALVES ANDRADE', 'EDUARDO WALKER', 'ANGELO VIEIRA DOS REIS', 'GIUSEPE STEFANELLO']
FEEVALE;UNIVERSIDADE FEEVALE;KIT PARA REPAROS EM DORMENTES DE CONCRETO E MÉTODO PARA REPAROS EM DORMENTES DE CONCRETO;['ADRIANA TERESINHA DA SILVA DUTRA', 'LUCIANO DE OLIVEIRA', 'KIM LISBOA DAUDT MAUS', 'ALICE HELENA MEINHART', 'CAROLINA LIMA DALLA BARBA', 'LETICIA ANDREOLLI DIAS', 'ROGERIO VESCIA LOUREGA', 'DAIANA CRISTINA METZ ARNOLD', 'CARLOS LEONARDO PANDOLFO CARONE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO PARA OBTENÇÃO DE SENSOR VOLTAMÉTRICO QUIMICAMENTE MODIFICADO COM BIOCHAR DE CASCA DE ARROZ PARA DETERMINAÇÃO DE DICLOFENACO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'DAIANE DIAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;UTILIZAÇÃO DE DERIVADOS DE PIRAZÓIS COMO AGENTES ANTITUMORAIS PARA CÂNCER DE MAMA;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'JOSIANE WEBER TESSMANN', 'BRUNA SILVEIRA PACHECO', 'ROSIANE MASTELARI MARTINS', 'SILVIA SAUERESSIG', 'KARINE RECH BEGNINI', 'LIZIANE PEREIRA DA SILVA', 'TIAGO VEIRAS COLLARES', 'FABIANA KOMMLING SEIXAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO PARA GENOTIPAGEM DO POLIMORFISMO RS3813627 DO GENE APOA2;['CARLOS CASTILHO DE BARROS', 'ALICE KUNZGEN SCHEER', 'AMANDA BARBOSA ATRIB', 'CLEDIA SILVEIRA FLORES DA SILVA', 'MARCELO COZZENSA DA SILVA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE EXTRAÇÃO DE COMPOSTOS FENÓLICOS A PARTIR DA MICROALGA PEDIASTRUM BORYANUM, FORMULAÇÃO FARMACÊUTICA, PROCESSO DE PREPARO DAS FORMULAÇÕES FARMACÊUTICAS E USO DA FORMULAÇÃO;['JORGE ALBERTO VIEIRA COSTA', 'CRISTIANA LIMA DORA', 'ELIANA BADIALE FURLONG']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;CINZAS DE CASCAS DE ARROZ COMO FONTE DE SÍLICA NA PRODUÇÃO DE GRAFENOSILICATO DOPADO COM NIÓBIO OBTIDO PELO MÉTODO SOL-GEL;['ROGERIO MARCOS DAL LAGO', 'PETERSON VINICIO STORMOSKI', 'FABIANA DE OLIVEIRA PEREIRA', 'ADRIELE SABRINA TODERO', 'PALOMA TRUCCOLO REATO', 'DIANA EXENBERGER FINKLER', 'MARCELO LUIS MIGNONI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE OBTENÇÃO, REFINAMENTO E CONCENTRAÇÃO DO EXTRATO PIROLENHOSO E SEU USO NA AGRICULTURA, NUTRIÇÃO ANIMAL E BIOESTIMULAÇÃO DA COMPOSTAGEM E COMPOSIÇÃO REPELENTE;['ALEXANDRE MENEGHELLO FUENTEFRIA', 'RICARDO CENTENO FANTIN', 'GLÊNIO GUIMARÃES', 'MIRIAM ANDERS APEL']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FILME ANTICORROSÃO, EMBALAGEM, PROCESSO DE PRODUÇÃO E USO DO MESMO';['ROSMARY NICHELE BRANDALISE', 'DIEGO PIAZZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO SUSTENTÁVEL DE OBTENÇÃO DE EXTRATO VEGETAL A PARTIR DO BAGAÇO DA OLIVA, COMPOSIÇÃO DE UM NANOCARREADOR VESICULAR VEGANO DE ORIGEM NATURAL CONTENDO ESTE EXTRATO E O USO COSMÉTICO, ALIMENTÍCIO E AGROPECUÁRIO DESTE EXTRATO E DESTA COMPOSIÇÃO;['LIGIA DAMASCENO FERREIRA MARCZAK', 'IRENE CLEMES KULKAMP GUERREIRO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ASSOCIAÇÃO ANTIPARASITÁRIA COM NITAZOXANIDA PARA USO EM CÃES;['MARCIA DE OLIVEIRA NOBRE', 'BEATRIZ FERREIRA RODRIGUES DE OLIVEIRA', 'KAYANE ROSALES MOLARINHO', 'BRUNO CABRAL CHAGAS', 'RUBENS ALVES PEREIRA', 'SERGIO JORGE']
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;ESTRUTURA DE VENTILAÇÂO EM FORMA DE ARCO E GALPÃO;['GEAN LOPES DA LUZ', 'FERNANDO GRANDE', 'MARCELO FABIANO COSTELLA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LÍQUIDO PIROLENHOSO COMO REVESTIMENTO ANTICORROSIVO PARA METAIS;['RAFAEL BELTRAME', 'MATHEUS DE PAULA GOULARTE', 'ERIKA VASQUES SCHNEIDER', 'RAPHAEL DORNELES CALDEIRA BALBONI', 'ANDRE LUIZ MISSIO', 'DARCI ALBERTO GATTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FIBRAS ULTRAFINAS PRODUZIDAS COM FUCOIDANA E ZEÍNA POR ELECTROSPINNING;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'DAISA HAKBART BONEMANN', 'CRISTINA JANSEN', 'FRANCIELI MORO STEFANELLO', 'ELESSANDRA DA ROSA ZAVAREZE']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FILME ANTICORROSÃO, EMBALAGEM, PROCESSO DE PRODUÇÃO E USO DO MESMO;['DIEGO PIAZZA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FILME BIOPOLIMÉRICO, PROCESSO DE OBTENÇÃO DE FILME BIOPOLIMÉRICO E USO DE FILME BIOPOLIMÉRICO;['CAMILA BALDASSO', 'GIAN LUCAS PRETTO', 'JULIA DANELUZ', 'WENDEL PAULO SILVESTRE']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ENRAIZADOR E FORTIFICANTE SUSTENTÁVEL DE LÍQUIDO PIROLENHOSO PARA ESTÍMULO RADICULAR EFICIENTE E FORTIFICAÇÃO DE PLANTA;['DARCI ALBERTO GATTO', 'MATHEUS DE PAULA GOULARTE', 'LUCAS REINALDO WACHHOLZ ROMANO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;USO DE ESPONJA POROSA DE QUITOSANA PARA REMOÇÃO DE PETRÓLEO EM SISTEMA AQUOSO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ARIANE BORGES RIBEIRO', 'FRANCISCA ZUCHOSKI RIZZI', 'VIVIANE DE CARVALHO ARABIDIAN', 'RAFAEL GERHARDT', 'BRUNA SILVA DE FARIAS', 'NAURO DA SILVEIRA JUNIOR', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÕES DE REVELADORES DE IMPRESSÕES DIGITAIS DERIVADOS DA CURCUMINA NATURAL;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'LEITZKE, AMANDA FONSECA', 'DA ROSA, BRUNO N.', 'TAIS POLETTI', 'DANIELLE TAPIA BUENO', 'MILENA MATTES CERVEIRA', 'GUILHERME KURZ MARON', 'RODRIGO DE ALMEIDA VAUCHER', 'NEFTALI LENIN VILLARREAL CARREÑO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PEPTÍDEOS SINTÉTICOS PARA TRATAR INFECÇÕES CAUSADAS POR ENTEROCCOCUS FAECALIS;['PEDRO FILHO NORONHA DE SOUZA', 'PATRICIA GOMES LIMA', 'THAIS LARRE OLIVEIRA', 'DAIANE DRAWANZ HARTWIG']
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;PERIODONTAL PRESSURE TRAINER;['GASPAR VINICIUS GIRARDI', 'TICIANE DE GOES MARIO FERREIRA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DISPOSITIVO AUTOMATIZADO PARA CINESIOTERAPIA PASSIVA, PROCESSO DE MONTAGEM DO DISPOSITIVO E SISTEMA AUTOMATIZADO PARA CINESIOTERAPIA PASSIVA;['ALEXANDRE VIECELI', 'FERNANDA TRUBIAN', 'HUGO LUIS MARTINS DE SOUSA', 'LUANA BELARMINO', 'KATIUCIA PEZZI CORLATTI', 'TIAGO GIACOMELLI POLETTO', 'MATHEUS PARMEGIANI JAHN', 'ALEXANDRE JOSE GONCALVES AVINO']
FEEVALE;UNIVERSIDADE FEEVALE;COMPÓSITO DE RESINA POLIMÉRICA CONTENDO PREENCHIMENTO DE CARGAS MINERAIS, PROCESSO DE OBTENÇÃO DO MESMO E SEU USO;['ADRIANA TERESINHA DA SILVA DUTRA', 'LUCIANO DE OLIVEIRA', 'KIM LISBOA DAUDT MAUS', 'LETICIA ANDREOLLI DIAS', 'CAMILA ARIANA MULLER', 'DAIANA CRISTINA METZ ARNOLD', 'CARLOS LEONARDO PANDOLFO CARONE', 'CARINA MARIANE STOLZ']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE CONVERSÃO DA TEREBENTINA BRUTA EM REATOR CONTÍNUO DE LEITO DE ZEÓLITAS;['SERGIANE CALDAS BARBOSA', 'CRISTIAN TESSMER RADMANN', 'VANESSA BONGALHARDO MORTOLA', 'LUIZ FERNANDO GORUP', 'CEZAR AUGUSTO DA ROSA']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;CIRCUITO DE BAIXO CUSTO PARA SISTEMAS DE COMUNICAÇÃO SEM FIO COM CHAVEAMENTO DE FEIXE E SUAS APLICAÇÕES;['EDSON RODRIGO SCHLOSSER', 'LEONARDO CARPES DOS SANTOS', 'MARCOS VINICIO THOMAS HECKLER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;TRANSPORTADOR BIODEGRADÁVEL DE MOLÉCULAS HERBICIDADEMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;SISTEMA PARA MONITORAMENTO E/OU ANÁLISE DA EVOLUÇÃO DE METAS DE SANEAMENTO BÁSICO;['JULIANO RODRIGUES GIMENEZ', 'TIAGO PANIZZON']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPÓSITO COMPREENDENDO GRAFENO E/OU SEUS DERIVADOS, PROCESSO DE OBTENÇÃO E USO DO MESMO;['DIEGO PIAZZA', 'FRANCISCO LANFERDINI SERAFINI', 'FELIPE MUNIZ', 'ETIENNE HENRIQUE JENSEN', 'MARCOS VINICIUS MAROCCO', 'GUSTAVO ONZI CABERLON', 'DANIELE PERONDI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;DESTILAÇÃO SIMPLES (COM RECIRCULAÇÃO DE ÁGUA) COMO TRATAMENTO PARA LIXIVIADO DE ATERROS SANITÁRIOS;['ELVIS CARISSIMI', 'MARIANA ISLONGO CANABARRO', 'ANDRE RICARDO FAJARDO', 'SIARA SILVESTRI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;VEÍCULO BIODEGRADÁVEL CARREADOR DE MOLÉCULA HERBICIDAMENTE ATIVA;['ANDRE RICARDO FAJARDO', 'MATEUS VICENTE ALVES', 'ANDRESSA BAPTISTA NORNBERG', 'EDINALVO RABAIOLI CAMARGO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COMPOSIÇÃO NANOTECNOLÓGICA INTEGRADA EM MICROAGULHA COM OTIMIZADA CAPACIDADE DE CARREGAMENTO DE SUBSTÂNCIAS ATIVAS, PROCESSO DE OBTENÇÃO E USO DA DITA COMPOSIÇÃO INTEGRADA EM MICROAGULHA PARA TRATAMENTO DE PROCESSOS INFLAMATÓRIOS POR VIA TRANSDÉRMICA;['LETICIA SCHERER KOESTER', 'KAREN DE OLIVEIRA ARAUJO', 'ISABELLA MOREL BORDIGNON', 'KETLY AMARAL ANTUNES NUNES', 'PATRICIA WEIMER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;ASSOCIAÇÃO DE PROTEÍNAS RECOMBINANTES RASP-2 E RTC24 COMO ESTRATÉGIA VACINAL CONTRA A DOENÇA DE CHAGAS;['FABIANA KOMMLING SEIXAS', 'FERNANDA KANAAN DE AZAMBUJA', 'GUSTAVO DOS SANTOS HARTLEBEN', 'LUIZA DOMINGUES MORON', 'BARBARA DA ROCHA FONSECA', 'GUILHERME SENNA DOS SANTOS', 'FERNANDA SEVERO SABEDRA SOUSA', 'MIRNA SAMARA DIE ALVES', 'SIBELE BORSUK', 'TIAGO VEIRAS COLLARES']
UFCSPA;UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;EU + COMPASSIVO;['SILVIO CESAR CAZELLA', 'LARA FINKLER CUNHA', 'BRUNO LUIS SCHAAB', 'CAROLINE TOZZI REPPOLD', 'PRISLA UCKER CALVETTI', 'HELENA MARIA TANNHAUSER BARROS']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPLEXO TERNÁRIO, SEU PROCESSO DE PRODUÇÃO, SEUS USOS E FORMULAÇÃO;['SIDNEI MOURA E SILVA', 'CARLA PERON', 'PAULO ROBERTO DOS SANTOS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;EMBALAGENS, FILMES OU COBERTURAS COMESTÍVEIS FUNCIONALIZADAS COM CATUABA;['VILASIA GUIMARAES MARTINS', 'STEFANNY PEREIRA ATANES', 'KAROLINE DA SILVA NODA', 'BRUNO MARQUES GOMES', 'LUAN GUSTAVO DOS SANTOS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROTEÍNA QUIMÉRICA DOS ALPHAHERPESVIRUS BOVINOS 1 E 5 PARA VACINAÇÃO E DIAGNÓSTICO;['GEFERSON FISCHER', 'LARIANE DA SILVA BARCELOS', 'NADALIN YANDRA BOTTON', 'MATHEUS IURI FRUHAUF', 'ALESSANDRA NEIS', 'LEONARDO CLASEN RIBEIRO', 'CRISTINA MENDES PETER', 'GILBERTO DAVILA VARGAS', 'SILVIA DE OLIVEIRA HUBNER', 'MARCELO DE LIMA', 'LUCIANO DA SILVA PINTO', 'AMILTON CLAIR PINTO SEIXAS NETO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODO ESTRUTURADO PARA OTIMIZAR PROCESSOS PRODUTIVOS;['VANESSA PERIPOLLI', 'EVERTON CORREA', 'MONIKE QUIRINO DOS SANTOS', 'RAFAEL DA ROSA ULGUIM', 'IVAN BIANCHI']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE PREPARAÇÃO DE CARVÃO ATIVADO, CARVÃO ATIVADO E USO DO MESMO COMO CATALISADOR;['THIAGO BARCELLOS DA SILVA', 'EDUARDO ANTONIO CECHINATTO', 'MARCELO GODINHO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE ELETRODO DE FILME QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA APLICADO A DETERMINAÇÃO VOLTAMÉTRICA DE CAFEÍNA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ANDRESSA BARROSO DOS SANTOS', 'SARA ALVES DA CUNHA', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'JULIANA MARTINS DIAS', 'CAROLINE ATHAIDES MILER', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'JULIANA VILLELA MACIEL', 'DAIANE DIAS']
UFN;UNIVERSIDADE FRANCISCANA;CURATIVOS NANOFRIBROSOS DE POLICAPROLACTONA (PCL) CONTENDO EXTRATO DE FOLHAS DE OLIVEIRA COM ATIVIDADE ANTIMICROBIANA;['LUIZ FERNANDO RODRIGUES JUNIOR', 'LARISSA DA SILVA SILVEIRA', 'ALINE ROSSATO', 'CAROLINA RAPACHI FORTES', 'MICHELE RORATO SAGRILLO', 'LIANA DA SILVA FERNANDES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CIELAB TO 3D RGB COLOR CHART CONVERTER;['CESAR VALMOR ROMBALDI', 'ARLIENE DO SOCORRO BATISTA DOS SANTOS', 'RENIRES DOS SANTOS TEIXEIRA', 'MARCIA VIZZOTTO', 'LEONARDO NORA', 'GABRIEL LAQUETE DE BARROS', ' FERNANDA IZABEL GARCIA DA ROCHA CONCENÇO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;STARTUP HELPER PESQUISA E DESENVOLVIMENTO EM IMUNOBIOLOGICOS;['MARILIANA LUIZA FERREIRA ALVES', 'PEDRO HENRIQUE DALA NORA QUATRIN', 'MIGUEL ANDRADE BILHALVA', 'MARA ANDRADE COLARES MAIA', 'MARCOS ROBERTO ALVES FERREIRA', 'STEFANIE BRESSAN WALLER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;SISTEMA DE ASPIRAÇÃO FOLICULAR OVARIANA POST MORTEM;['FABIANA KOMMLING SEIXAS', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL', 'BRUNA SILVEIRA PACHECO', 'ANDREA CRISTINA BASSO', 'TIAGO VEIRAS COLLARES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;COIFA RECUPERADORA DE CALOR RESIDUAL;['FELIX ALBERTO FARRET', 'JAIRO AFONSO FREITAS PIRES']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FILME ANTICORROSÃO, EMBALAGEM, PROCESSO DE PRODUÇÃO E USO DO MESMO;['ROSMARY NICHELE BRANDALISE', 'TAIS TURELLA', 'DIEGO PIAZZA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;SISTEMA PARA MONITORAMENTO E/OU ANÁLISE DA EVOLUÇÃO DE METAS DE SANEAMENTO BÁSICO;['JULIANO RODRIGUES GIMENEZ']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;MÉTODO DE EXTRAÇÃO DE COMPOSTOS FENÓLICOS, COMPOSIÇÃO DE BAGAÇO DE UVA E COMPOSIÇÃO DE EXTRATOS FENÓLICOS;['CATIA DOS SANTOS BRANCO', 'ANGELA MARINA MAZZOCHI TOSS DEBACO', 'JULIANE MASCARELLO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO E USO DA BIOMASSA DE BANANA VERDE INTEGRAL (BBV) COMO MICROESTRUTURADOR FUNCIONAL PARA MELHORIA DA QUALIDADE ALIMENTAR E REDUÇÃO DE FAT E SUGAR BLOOM EM CHOCOLATES;['LUIZ FERNANDO GORUP', 'VANESSA BONGALHARDO MORTOLA']
UFN;UNIVERSIDADE FRANCISCANA;NANOESTRUTURA CONTENDO EXTRATO HIDROALCOÓLICO DE FOLHAS DE DIFERENTES CULTIVARES DE OLIVEIRA (OLEA EUROPAEA L.) COM AÇÃO ANTIMICROBIANA;['LUIZ FERNANDO RODRIGUES JUNIOR', 'TATIANE LONDERO', 'LARISSA DA SILVA SILVEIRA', 'ALINE ROSSATO', 'CAROLINA RAPACHI FORTES', 'MATHEUS DELLAMEA BALDISSERA', 'MICHELE RORATO SAGRILLO', 'LIANA DA SILVA FERNANDES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;TESTE MOLECULAR RÁPIDO PARA TUBERCULOSE;['MARLI MATIKO ANRAKU DE CAMPOS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DESTILAÇÃO SIMPLES (COM RECIRCULAÇÃO DE ÁGUA) COMO TRATAMENTO PARA  LIXIVIADO DE  ATERROS SANITÁRIOS;['ELVIS CARISSIMI', 'MARIANA ISLONGO CANABARRO', 'ANDRE RICARDO FAJARDO', 'SIARA SILVESTRI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PRODUÇÃO DE QUITINA SOLÚVEL EM ÁGUA (ORIUNDA DE RESÍDUOS DE PESCADO) A PARTIR DE PROCESSO DE MODIFICAÇÃO UTILIZANDO COMPOSTOS E SOLVENTES NÃO TÓXICOS;['LUIZ ANTONIO DE ALMEIDA PINTO', 'BRUNA SILVA DE FARIAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÕES DE REVELADORES DE IMPRESSÕES DIGITAIS DERIVADOS DA CURCUMINA NATURAL;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'TAIS POLETTI', 'RODRIGO FERREIRA DA SILVA', 'DANIELLE TAPIA BUENO', 'NEFTALI LENIN VILLARREAL CARREÑO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;COMBINAÇÕES DE 8-HIDROXIQUINOLINAS-2,5,7- SUBSTITUÍDAS COM FÁRMACO PARA TRATAMENTO DE INFECÇÃO DO SISTEMA NERVOSO;['MARILENE HENNING VAINSTEIN', 'JOAO GABRIEL FANTINEL EBERHARDT', 'THAIS HELENA MACIEL FERNANDES', 'JULIA CATARINA VIEIRA REUWSAAT', 'ANA PAULA PERIN', 'SAULO FERNANDES DE ANDRADE', 'LIVIA KMETZSCH ROSA E SILVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MÉTODO PARA CARACTERIZAÇÃO ESPECTRAL DE SOLO DE HORIZONTE COM CARÁTER COESO SUBMETIDO A CICLOS DE UMEDECIMENTO E SECAGEM E EXTRAÇÃO DE AMORFOS;['RICARDO ESPINDOLA ROMERO', 'VITORIA EMILLY DE MOURA SOUZA', 'REBECA MENDES FEITOZA', 'ANA MARIA VIEIRA DA SILVA', 'JAEDSON CLAUDIO ANUNCIATO MOTA', 'FABRICIO DA SILVA TERRA', 'RAUL SHISO TOMA', 'LUIZ EDUARDO VICENTE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MEIAS#VERDADES;['LUCIANA MONTEIRO KREBS']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;PROCESSO DE TRATAMENTO DE EFLUENTES DA INDÚSTRIA DE SEMICONDUTORES;['CARLOS ALBERTO MENDES MORAES', 'CRISTIANE GUTH', 'GUILHERME GUSTAVO WEIGERT', 'WILLIAM TODENDI DUTRA', 'FELICIANE ANDRADE BREHM', 'GIOVANI CHEUICHE PESENTI']
