Sigla;Nome;Responsável
PUCRS;Estudo da migração de aditivos em filmes poliméricos;ROSANE ANGELICA LIGABUE
UNIVÁS;APLICATIVO MÓVEL: INTERVENÇÕES FISIOTERAPÊUTICAS À IDOSOS FRÁGEIS;DIBA MARIA SEBBA TOSTA DE SOUZA
IFRS;Inovação tecnológica na cadeia vitivinícola;LEONARDO CURY DA SILVA
UFG;Desenvolvimento e validação de ferramentas de proteção inteligente para o manejo de doenças de culturas anuais, com ênfase em doenças radiculares e viroses;MURILLO LOBO JUNIOR
UPE;Soluções de Reconhecimento de Escrita e Processamento de Imagens para DPO's;BYRON LEITE DANTAS BEZERRA
UNIVALI;PROGRAMA INOVATUR – SEGUNDA EDIÇÃO;PABLO FLORES LIMBERGER
IFRS;Estruturação de um sistema de gestão para viticultura sustentável;SHANA SABBADO FLORES
UFC;Unlocking Data to Improve Decision-Making;Asim Ijaz Khwaja
UFBA;Obtenção de matérias primas sustentáveis para indústria farmacêutica a partir da biomassa de microalgas;HENRIQUE RODRIGUES MARCELINO
UFS;DESENVOLVIMENTO DE GÉIS SUPRAMOLECULARES CONTENDO DISPERSÃO SÓLIDA DO EXTRATO SECO PADRONIZADO DE .............................................OBTIDA POR TERMOEXTRUSÃO E ENSAIO CLÍNICO RANDOMIZADO SOBRE PARÂMETROS TERAPÊUTICOS EM MULHERES COM GONOARTROSE;LUCINDO JOSE QUINTANS JUNIOR
IFRS;ClickLabs: Open Innovation Hub - Hub de Inovação Aberta na Serra Gaúcha;SHANA SABBADO FLORES
ITA;Desenvolvimento de sistema de monitoramento de reparos constituídos de materiais compósitos empregando fibras de nanotubos de carbono;DOMINGOS ALVES RADE
UFABC;Implementando boas práticas em gestão de propriedade intelectual e transferência de tecnologia obtidas por meio de intercâmbio entre instituições fomentadoras da inovação na América Latina;ANAPATRICIA DE OLIVEIRA MORALES VILHA
UFRJ;PRODUÇÃO ENZIMÁTICA DE BIODIESEL UTILIZANDO MATÉRIAS-PRIMAS ALTERNATIVAS DE BAIXO CUSTO;DENISE MARIA GUIMARAES FREIRE
UFBA;Experimentação e modelagem numérica de concreto reforçado com fibras com gradação funcional para uso em painel de parede pré-moldado;PAULO ROBERTO LOPES LIMA
UFMG;PROCESS OF PREPARATION OF FORMULATIONS OF THE PEPTIDE ANGIOTENSIN-(1-7) AND ITS ANALOGUES, AGONISTIC AND ANTAGONISTS USING CYCLODEXTRINS, LIPOSSOMES AND BIODEGRADABLE POLYMERS AND/OR MIXTURES AND PRODUCTS THEREOF. 2004, México. Patente: Privilégio de Inov;RUBEN DARIO SINISTERRA MILLAN
UFMG;PREPARAÇÃO DE FORMULAÇÕES DE ANTOGONISTAS DOS RECEPTORES AT1 USANDO AS CICLODEXTRINAS, SEUS DERIVADOS E OS POLÍMEROS BIODEGRADÁVEIS PARA O TRATAMENTO DE HIPERTENSÃO ARTERIAL, OUTRAS DOENÇAS CARDIOVASCULARES E SUAS COMPLICAÇÕES EM ANIMAIS DE SANGUE QUENTE;FREDERIC JEAN GEORGES FREZARD
UFRJ;DICIONÁRIO DOS INTRADUZÍVEIS : Criando Léxicos Filosóficos  (vol II);FERNANDO JOSE DE SANTORO MOREIRA
UFG;Tecnologias para aumento do sequestro de C em agroecossistemas;BEATA EMOKE MADARI
IFES;Recursos Hídricos e Resíduos na Agroecologia;GUSTAVO HADDAD SOUZA VIEIRA
IFCATARINENSE;Modelo matemático e gerencial para identificar oportunidades de melhoria do desempenho de suínos em crescimento e terminação;IVAN BIANCHI
UEL;Intercomunicação entre os serviços de urgência na passagem de plantão;ELEINE APARECIDA PENHA MARTINS
UNB;PROJETO conFIA - CONFIANÇA ÉTICA EM INTELIGÊNCIA ARTIFICIAL APLICADA AO DIREITO;FABIANO HARTMANN PEIXOTO
UNB;LEGALFIELD + GPTS;FABIANO HARTMANN PEIXOTO
UNB;PROJETO JuLIA;FABIANO HARTMANN PEIXOTO
UFSC;Desenvolvimento de uma ferramenta com base em Inteligência Artificial para auxílio de tomadas de decisão em saúde digital;ANDRE LUIZ BARBOSA BAFICA
UNB;DESENVOLVIMENTO DE UM PRODUTO BASEADO EM RNAi PARA CONTROLE DE VÍRUS EM TOMATEIRO COM USO DE ESTRATÉGIAS NANOTECNOLÓGICAS E BIOTECNOLÓGICAS;ALICE KAZUKO INOUE NAGATA
UFR;Desenvolvimento de tecnologias para o monitoramento e controle da qualidade do ar em ambientes fechados e climatizados;SILMARA BISPO DOS SANTOS
UFMG;PROCESSO DE PREPARAÇÃO DE COMPOSTOS ENTRE OS ANTAGONISTAS DO RECEPTOR AT1 E ANGIOTENSINA-(1-7) SEUS ANÁLOGOS E/OU MISTURAS DESSES SISTEMAS, SUAS COMPOSIÇÕES FARMACÊUTICAS E USO DOS PRODUTOS DERIVADOS. 2005, Brasil.;RUBEN DARIO SINISTERRA MILLAN
UFR;Oficina Maker UFR: Desenvolvimento de uma extrusora para polímeros;SILMARA BISPO DOS SANTOS
UFRJ;JBL-Estudos de Fenômenos de Incrustração sob Escoamento Rotacional em Busca de Soluções Mitigatórias Inovadoras;JULIANA BRAGA RODRIGUES LOUREIRO
FIOCRUZ-GEREB,FIOCRUZ BRASÍLIA;APLICATIVO DE MENSAGENS INSTANTÂNEAS NA EDUCOMUNICAÇÃO EM SAÚDE: QUAL A SUA POTÊNCIA PARA O MANEJO DE PACIENTES HIPERTENSOS?;ALINE GUIO CAVACA
UFRB;MandiPlus: nova tecnologia para produção de manivas-semente de mandioca;EDER JORGE DE OLIVEIRA
UFRGS;IOTCHIPLET: Pesquisa e Desenvolvimento em Tecnologia Chiplet para Produtos em IoT;FERNANDA GUSMAO DE LIMA KASTENSMIDT
UFMG;Use of mas-g-protein-coupled receptor agonists in the treatment of the metabolic syndrome, its components and its complications. 2006, Estados Unidos.;ANDREA SIQUEIRA HAIBARA
UNICAMP;LICENÇA DE EXPLORAÇÃO EXCLUSIVO DE TECNOLOGIA, OBJETO DO PEDIDO DE PATENTE Nº BR 10 2017 012768 0 E SUA RESPECTIVA FAMÍLIA PCT/BR2018/000031, US16/617.493 E EP18818605.0 (1176_URINÁRIA);WAGNER JOSE FAVARO
UFMG;COMPOSIÇÕES FARMACÊUTICAS ANTINEOPLÁSICAS CONTENDO PEPTÍDIO DES-[ASP1]-[ALA1]-ANGIOTENSINA-(1-7). 2016, Brasil.;ROBSON AUGUSTO SOUZA DOS SANTOS
UNIVASSOURAS;Patente alargador de conduto auditivo;MARCO AURELIO DOS SANTOS SILVA
UFMG;USO DE COMPOSIÇÃO FARMACÊUTICA CONTENDO AGONISTA DO RECEPTOR MAS. 2016, Brasil.;ROBSON AUGUSTO SOUZA DOS SANTOS
UFMG;FORMULAÇÕES TÓPICAS PARA A PREVENÇÃO E TRATAMENTO DA ALOPECIA E PARA INIBIÇÃO DO CRESCIMENTO DE PÊLOS. 2013, Brasil.;FREDERIC JEAN GEORGES FREZARD
UFMG;Composição farmacêutica compreendendo lipossomas multilamelares como sistema entregador de piridostigmina. 2014, Brasil.;FREDERIC JEAN GEORGES FREZARD
UNISUAM;Métodos e modelos computacionais para avaliação funcional;ARTHUR DE SA FERREIRA
USP;Tecnologia construtiva para espaços populares e urbanizações informais;JOSE EDUARDO BARAVELLI
UFAM;DESENVOLVIMENTO DE TESTE PARA DETECÇÃO ELETROQUÍMICA DE RESISTÊNCIA EM Plasmodium vivax UTILIZANDO CRISPR CAS13a;LUIS ANDRE MORAIS MARIUBA
UFMG;Processo De Preparação De Compostos Entre As Ciclodextrinas Ou Seus Derivados E O Antimônio Ou Seus Derivados, De Formulações Farmacêuticas Contendo Esses Compostos e Produtos Associados, para o Tratamento das leishmanioses e da Esquistossomose. 2003, Br;FREDERIC JEAN GEORGES FREZARD
UFMG;Composição farmacêutica contendo lipossomas convencionais e lipossomas de circulação prolongada para o tratamento da leishmaniose visceral. 2013, Brasil.;FREDERIC JEAN GEORGES FREZARD
IFCATARINENSE;Desenvolvimento de coleira etológica para avaliação de bovinos de corte confinados;CARLOS EDUARDO NOGUEIRA MARTINS
UFAM;Teste rápido par malária vivax assintomática baseada em IgG3 específica contra proteínas variantes do antígeno MSP1;PAULO AFONSO NOGUEIRA
UFMG;NANOCOMPLEXOS PARA ENTREGA DE ÁCIDOS NUCLÉICOS, PROCESSO DE PREPARAÇÃO E USOS. 2016, Brasil.;JOSE DIAS CORREA JUNIOR
UFMG;Composições antileishmania contendo o fulerol e uso. 2014, Brasil;FREDERIC JEAN GEORGES FREZARD
UEFS;Portal de Informações do Agronegócio;JOCIMARA SOUZA BRITTO LOBAO
UEG;Utilização do Extrato de Jatobá como agente antioxidante na criopreservação de sêmen bovino,;KLAYTO JOSE GONCALVES DOS SANTOS
UFC;RMaia_Projeto Falésias: Diagnóstico de Risco de desmoronamento de Falésias em Pipa e Barra de Tabatinga - RN;RUBSON PINHEIRO MAIA
UESB;Tecnologia e inovação aplicada a saúde e ao bem-estar;MARCOS RODRIGO TRINDADE PINHEIRO MENUCHI
SENAI CIMATEC;P&D de Novos produtos;VALTER ESTEVAO BEAL
UCS;ESTUDO E PROPOSIÇÃO DE MELHORIAS PARA A CADEIA DE LOGÍSTICA REVERSA DE RESÍDUOS ELETROELETRÔNICOS NO SUL DO BRASIL ATRAVÉS DA TÉCNICA DE AVALIAÇÃO DO CICLO DE VIDA;MATHEUS POLETTO
MPEG;Museus da Amazônia em Rede;LUCIA HUSSAK VAN VELTHEM
UFRJ;FAD-Pesquisa Experimental em Campo de Parâmetros Geotécnicos para Início de Poço - Propriedades de Solo para Início de Poço;FERNANDO ARTUR BRASIL DANZIGER
UNISC;TECNOLOGIA E INOVAÇÃO EM SAÚDE: ESTIMULANDO O POTENCIAL EMPREENDEDOR DOS DISCENTES DO PROGRAMA DE PÓS-GRADUAÇÃO EM PROMOÇÃO DA SAÚDE;JANINE KOEPP
UNIFOR;Plataforma Animal: Uma solução para a indústria farmacêutica nacional preencher lacunas na cadeia produtiva de biofármacos;LEONARDO TONDELLO MARTINS
UFT;Ary- Embrapii-UFT-BioAmazônia-Bioinssumos;GLENDA MICHELE BOTELHO
UFMG;INIBIDORES DA SÍNTESE DE ERGOSTEROL PARA O TRATAMENTO DE DOENÇAS, COMPOSIÇÕES FARMACÊUTICAS E USO. 2016, Brasil.;RUBENS LIMA DO MONTE NETO
UFT;emerson- Obtenção de Nanocelulose a Partir de Biomassas Residuais Utilizando Processos Enzimáticos e com Líquidos Iônicos.;EMERSON ADRIANO GUARDA
UFSJ;Chamada no. 68/2022 - Doutorado Acadêmico para Inovação (DAI/CNPq). PROJETO PARCERIA UNIVERSIDADE/EMPRESA (Empresa Biotecnica Industria e Comercio LTDA e UFSJ).;ALEXSANDRO SOBREIRA GALDINO
UFT;Ary- Embrapii-UFT-BioAmazônia-Bioinssumos;GLENDA MICHELE BOTELHO
UNISC;TECNOLOGIA E INOVAÇÃO EM SAÚDE: ESTIMULANDO O POTENCIAL EMPREENDEDOR DOS DISCENTES DO PROGRAMA DE PÓS-GRADUAÇÃO EM PROMOÇÃO DA SAÚDE;JANINE KOEPP
UNIFESP;PROTOCOLO ELETRÔNICO PARA PROCESSO DE ENFERMAGEM EM CIRURGIA ORAL MENOR;DENISE NICODEMO
UFSJ;Avaliação da textura e do potencial estabilizante e antioxidante de um biossurfactante em formulações de sorvete;PAULO AFONSO GRANJEIRO
UFF;Células eletroquímicas integrada para estudo de corrosão in situ;EDUARDO ARIEL PONZIO
UNIFESP;MY FLAPS: APLICATIVO DE RETALHOS  FACIAIS;RENATO SANTOS DE OLIVEIRA FILHO
UNIFESP;APLICATIVO MÓVEL PARA GESTÃO DA ROTINA DIÁRIA DE UM CIRURGIÃO PLÁSTICO;JOSE DA CONCEICAO CARVALHO JUNIOR
UNIFESP;GUIA PRÁTICO DE CUIDADOS PARA A SAÚDE DO COURO CABELUDO;ALESSANDRA HADDAD
UNIFESP;DISPOSITIVO PROTETOR DE GLÚTEOS PARA PÓS OPERATÓRIO DE GLUTEOPLASTIA DE AUMENTO E LIFTING DE GLÚTEOSTÓRIO DE GLUTEOPLASTIA DE AUMENTO E LIFTING DE GLÚTEOS;HEITOR FRANCISCO DE CARVALHO GOMES
UNIFESP;DESENVOLVIMENTO DE UM SISTEMA INTELIGENTE DE RASTREAMENTO DE MOVIMENTOS PARA O CONTROLE DE SALAS DE CIRURGIAS;LYDIA MASAKO FERREIRA
UNIFESP;PREVENÇÃO CONTRA A VIOLÊNCIA SEXUAL INFANTOJUVENIL: APLICATIVO PARA EDUCAÇÃO DE CRIANÇAS E ADOLESCENTES;DENISE NICODEMO
UEPG;Roda Verde para mobilidade sustentável - IA generativa no desenvolvimento de liga alumínio, inovações em processo, produto e redução da emissão de CO2;OSVALDO MITSUYUKI CINTHO
UFSC;Desenvolvimento e validação de ferramenta para redução de risco anticolinérgico em idosos da atenção primária de Porto Alegre;ISABELA HEINECK
UFPA;SÍNTESE E CARACTERIZAÇÃO DE UM BIOFILME CONTENDO ESPILANTOL  À PARTIR DO EXTRATO CONCENTRADO DE JAMBU (A.OLERACEA);JESUINA LAMARTINE NOGUEIRA ARAUJO
UFPA;Inovação do Parque de Equipamentos da Clínica Odontológica da Faculdade de Odontologia da Universidade Federal do Pará;JULIANA MELO DA SILVA BRANDAO
UNIFESP;MANUAL DE ORIENTAÇÃO A CUIDADORES E PACIENTES COM DERMATITE ATÓPICA;HEITOR FRANCISCO DE CARVALHO GOMES
UNIFESP;R-PLASTIC: APLICATIVO DE MENSURAÇÃO DE HABILIDADES NA RESIDÊNCIA MÉDICA EM CIRURGIA PLÁSTICA;LYDIA MASAKO FERREIRA
PUCSP;Transformação digital nas organizações: o papel da controladoria;NAPOLEAO VERARDI GALEGALE
UFOPA;Bactérias Amazônicas produtoras de pigmentos: uma estratégia sustentável para a indústria têxtil, cosmética e de alimentos;SILVIA KATRINE SILVA ESCHER
UNIFESP;APLICATIVO MÓVEL PARA EMPREGO DE PROTOCOLO DE FAST-TRACK SURGERY EM CIRURGIAS PLÁSTICAS DE MAMA;LYDIA MASAKO FERREIRA
UFMG;SISTEMA EFETIVO PARA MELHORAR PROCESSOS DE CICATRIZAÇÃO BASEADO EM NANOFIBRAS POLIMÉRICAS CARREGADAS COM BIXINA. 2015, Brasil.;RUBEN DARIO SINISTERRA MILLAN
UNIFESP;JOGO INTERATIVO DE ERGONOMIA PARA PREVENÇÃO DE DOENÇAS OCUPACIONAIS DURANTE O LEVANTAMENTO E TRANSPORTE MANUAL DE CARGAS;DENISE NICODEMO
UNIFESP;APLICATIVO PARA AUXÍLIO DO MÉDICO NAS TRATATIVAS JUNTO ÀS OPERADORAS DE SAÚDE EM LESÕES CUTÂNEAS;JOSE DA CONCEICAO CARVALHO JUNIOR
UPE;Inspeção em linha de produção automotiva utilizando visão computacional e deep learning;BRUNO JOSE TORRES FERNANDES
UFAC;Produção, apresentação e circulação do Espetáculo Coração Inquieto, com o Grupo Universitário de Teatro Amador G.U.T.A;CLEIDISON DE JESUS ROCHA
UFPA;LABORATÓRIO DE TECNOLOGIA DE FITOTERÁPICOS - LTFITO: UNIDADE DE PRODUÇÃO DE MEDICAMENTOS E COSMÉTICOS DA FARMÁCIA UNIVERSITÁRIA / UFPA;JOSE OTAVIO CARRERA SILVA JUNIOR
UTFPR;Materiais avançado para aplicação em hidrogênio verde e biometano;ALESANDRO BAIL
UFRN;UTILIZAÇÃO DE INTELIGÊNCIA ARTIFICIAL PARA CÁLCULO DO COMPRIMENTO DOS MINIIMPLANTES UTILIZADOS NA TÉCNICA MARPE EM TOMOGRAFIAS COMPUTADORIZADAS;SERGEI GODEIRO FERNANDES RABELO CALDAS
FEMPAR;DOSAGEM DE C5a EM PACIENTES SUBMETIDOS À CIRURGIA BARIÁTRICA PELO MÉTODO BYPASS GÁSTRICO EM Y DE ROUX NO PRÉ E PÓS-OPERATÓRIO E SUA ASSOCIAÇÃO COM ALTERAÇÕES NO PERFIL METABÓLICO E PERDA DE PESO;THELMA LAROCCA SKARE
UNB;ESCOLA DE ALTOS ESTUDOS: DESIGUALDADES GLOBAIS E JUSTIÇA SOCIAL;SIMONE RODRIGUES PINTO
UFRJ;Rede Rio de Inovação em Nanossistemas para a Saúde - NanoSAÚDE/FAPERJ;MARCO AURELIO MARTINS
UNB;IMPACTOS PSICOSSOCIAIS DO ENCARCERAMENTO NO COTIDIANO DAS FAMÍLIAS EM SUA RELAÇÃO COM PRESOS/AS E EGRESSOS/AS;CAMILA CARDOSO DE MELLO PRANDO
UEA;CUIDADO ÀS PESSOAS EM CONDIÇÕES CRÔNICAS: A PRODUÇÃO DE CONHECIMENTO E O DESENVOLVIMENTO DE NOVAS TECNOLOGIAS;DENISE MARIA GUERREIRO VIEIRA DA SILVA
UFRGS;WORKSHOP DE VISUALIZAÇÃO E MANIPULAÇÃO DE DADOS DE EEG: PYTHON PARA NÃO PROGRAMADORES;TERCIO APOLINARIO DE SOUZA
USP;Análise descritiva das características e desfechos dos pacientes atendidos pelo Time de Resposta Rápida em Via Aérea Difícil do Hospital Israelita Albert Einstein: um estudo de coorte retrospectivo.;MARIA JOSE CARVALHO CARMONA
UNB;PROJETO MANDAMUS: APLICAÇÃO DE IA NA CENTRAL DE MANDADOS JUDICIAIS DO TRIBUNAL DE JUSTIÇA;FABIANO HARTMANN PEIXOTO
IME;MATERIAIS PARA BLINDAGEM BALÍSTICA;SERGIO NEVES MONTEIRO
USP;APLICAÇÃO DO MACHINE LEARNING NA PREDIÇÃO DE PREMATURIDADE E IDADE GESTACIONAL DO PARTO EM GESTAÇÕES ÚNICAS E GEMELARES;MARIO HENRIQUE BURLACCHINI DE CARVALHO
CNEN/IPEN;Macro-projeto: Atenuação de venenos e toxinas por radiação gama para produção de soros e vacinas.;PATRICK JACK SPENCER
FEEVALE;PROGRAMA INSTITUCIONAL DE BOLSAS DE PÓS-GRADUAÇÃO (PIBPG);FERNANDO ROSADO SPILKI
UNIDERP;"Marketing Digital, Ciência e Tecnologia no Agroneócio: ""Podcast AgroConecta""";DENISE RENATA PEDRINHO
UFSJ;Uso da Fluorescência de Nanopartículas de Carbono para análise de Carbono Orgânico em Águas e Efluentes;MARCO ANTONIO SCHIAVON
UNICAMP;Sistema Integrado de Recuperação de Energia para Plataformas Flex-Fuel Híbridas;LUDMILA CORREA DE ALKMIN E SILVA
CNEN/IPEN;Macro-projeto: Ensaios clínicos e pré-clínicos para estudo de processos terapêuticos não térmicos da luz.;MARTHA SIMOES RIBEIRO
UNESC;A Perspectiva da Pedagogia da Inovação na Formação do Profissional de Saúde;WILLIANS CASSIANO LONGEN
UNESPAR;Pablo Guilherme, Microcosmus sp. aliando inovação e tecnologia para conservação da natureza.;Pablo Damian Borges Guilherme
CNEN/IPEN;Macro-projeto: Análise quantitativa e qualitativa de diferentes modalidades de câncer;CARLA DARUICH DE SOUZA
UNIVASSOURAS;DESENVOLVIMENTO DE APLICATIVOS/SOFTWARES VOLTADOS A ÁREA DE URGÊNCIA E EMERGÊNCIA;EDUARDO TAVARES LIMA TRAJANO
UEA;Inovações tecnológicas para produção de Pau-Rosa por agricultores familiares;PAULO DE TARSO BARBOSA SAMPAIO
FPL;Haver Boeker - Aplicação da metodologia Lean Manufacturing na estratégia organizacional;WANDERLEY RAMALHO
CEFET-MG;Plataforma para Inspeção Visual Automática de Grãos Agrícolas;FLAVIO LUIS CARDEAL PADUA
UNICID;ALTAS ENERGIAS E PLASMAS ASTROFÍSICOS: SIMULAÇÕES NUMÉRICAS E DESENVOLVIMENTO DE INSTRUMENTOS PARA O CHERENKOV TELESCOPE ARRAY;ANDERSON CAPRONI
UFERSA;SABEDORIA E CONHECIMENTO EM EDUCAÇÃO: acompanhando a experiência das ações afirmativas no Programa de Pós-Graduação em Cognição, Tecnologias e Instituições da Ufersa;KARLA ROSANE DO AMARAL DEMOLY
UNIMONTES;ACN-00090-17 APOIO A NÚCLEO DE INOVAÇÃO TECNOLÓGICA DA UNIMONTES;SARA GONCALVES ANTUNES DE SOUZA
UB;PESQUISAS EM GESTÃO DE RESÍDUOS SÓLIDOS MUNICIPAIS;LUIZ SERGIO VANZELA
UFERSA;Plataforma para o Portfólio de Tecnologias do Semiárido;JEAN BERG ALVES DA SILVA
UNB;Engenharia de Software: instrumento para melhoria da qualidade do software;EDNA DIAS CANEDO
UNIVASSOURAS;Computação aplicada no desenvolvimento sustentável;TASSIO FERENZINI MARTINS SIRQUEIRA
UFRN;Coronavírus RN e RN+Vacina;ANTONIO HIGOR FREIRE DE MORAIS
USP-RIBEIRÃO PRETO;Laboratório de Inovação e Empreendedorismo em Saúde e Enfermagem;MARTA CRISTIANE ALVES PEREIRA
UFPI;Modelo Digital de Impacto Arqueológico no Estado de Alagoas;GREGOIRE ANDRE HENRI MARIE GHISLAIN VAN HAVRE
UEA;Biotecnologia Industriial - INCT;SPARTACO ASTOLFI FILHO
UFRGS;SenseTag: Projeto e Prototipação de Circuito Integrado e Antenas para Harvesting de Energia para Internet das Coisas;SERGIO BAMPI
UNIFESSPA;Produção de detergente biológico a partir de resíduo agroindustrial da região amazônica;SIDNEI CERQUEIRA DOS SANTOS
MACKENZIE;NANOBIOSSENSORES DO TIPO POINT OF CARE PARA O DIAGNÓSTICO DE DOENÇAS RARAS AUTOIMUNES;CECILIA DE CARVALHO CASTRO E SILVA
USJT;Desenvolvimento de metodologia para caracterização de CRF aplicada ao controle tecnológico;RAMOEL SERAFINI
UFES;Consolidação do Laboratório Multiusuário de Petroleômica e Forense;WANDERSON ROMAO
PUCPR;Pesquisa, Inovação e Sustentabilidade para um Paraná Próspero e Resiliente às Mudanças Climáticas;NATHAN MENDES
UFPI;Desenvolvimento de biomateriais biofuncionalizados ou não com aplicação em odontologia;ANA CRISTINA VASCONCELOS FIALHO
IFES;Fortalecimento da Agricultura Capixaba - FortAC;SAVIO DA SILVA BERILLI
FURG;Laboratório de Ciência de Imagens - INOV[ENTER];DINALVA AIRES DE SALES
UNIOESTE;Desenvolvimento de um app educacional na área de próteses odontológicas.;MARCIO JOSE MENDONCA
UFPR;Aplicação de tecnologias inteligentes para a melhoria do desempenho de sistemas de manufatura;FERNANDO DESCHAMPS
UFSM;50/50 - Igualdade de gênero no ensino e no mercado da comunicação;JULIANA PETERMANN
UNIVASSOURAS;Tecnologias da Informação Aplicadas ao Meio Ambiente;MARCO ANTONIO PEREIRA ARAUJO
IFBAIANO;Desenvolvimento de ferramenta para manejo de irrigação automatizado;JOSE ALBERTO ALVES DE SOUZA
UFRN;Hear-Brasil: solução móvel acessível e sustentável para a saúde e cuidados auditivos;DEBORAH VIVIANE FERRARI
UCB;Desenvolvimento de tecnologias de informação, comunicação e educacionais - Detice;EDUARDO AMADEU DUTRA MORESI
UFRRJ-NOVA IGUAÇU;Localização de Dispositivos em Ambientes Indoor Usando Sensores WiFi;MARCEL WILLIAM ROCHA DA SILVA
UFG;Centro de Excelência em Hidrogênio e Tecnologias Energéticas Sustentáveis - CEHTES;CHRISTIAN GONCALVES ALONSO
UFC;Cientista Chefe Cultura: INOVAÇÃO E TECNOLOGIA PARA O PATRIMÔNIO CULTURAL DO CEARÁ;ESEQUIEL FERNANDES TEIXEIRA MESQUITA
UFRN;INCT de Sistemas Micro e Nanoeletrônicos (NAMITEC);CLEONILSON PROTASIO DE SOUZA
UFPB-JOÃO PESSOA;ESCOLA SEM FAKE: OFICINAS DE LEITURA, PRODUÇÃO TEXTUAL E ANÁLISE LINGUÍSTICA NO COMBATE À DESINFORMAÇÃO;TIAGO DE AGUIAR RODRIGUES
UFRJ;Desenvolvimento de biofármacos inovadores para tratamento de infecções bacterianas, virais e parasitárias;DIEGO ALLONSO RODRIGUES DOS SANTOS DA SILVA
EGN;Consolidação e aperfeiçoamento de Políticas Públicas voltadas ao transporte marítimo/aquaviário como vetor de desenvolvimento nacional;ANDRE PANNO BEIRAO
UFRJ;Laboratório de Inovação  Cidadã da UFRJ;IVANA BENTES OLIVEIRA
UFOP;Poéticas da diferença em cena;ALEX BEIGUI DE PAIVA CAVALCANTE
UFF;DESENVOLVIMENTO E APLICAÇÃO DE TÉCNICAS DE ANÁLISE HIDRODINÂMICA PARA QUANTIFICAÇÃO E AVALIAÇÃO DE VAZAMENTOS SUBSEA A PARTIR DE IMAGENS;JOAO FELIPE MITRE DE ARAUJO
FEMPAR;DESENVOLVIMENTO DE DISPOSITIVO DE ASSISTÊNCIA CIRCULATÓRIA MECÂNICA (CORAÇÃO ARTIFICIAL) COM TECNOLOGIA DE CONTROLE 5G.;LUIZ FERNANDO KUBRUSLY
UFPB-JOÃO PESSOA;REVISTA GRAPHOS: INCREMENTANDO A CIRCULAÇÃO DO CONHECIMENTO CIENTÍFICO DE QUALIDADE;MARTA PRAGANA DANTAS
UFPB-JOÃO PESSOA;Concepções de espaços, territórios e redes em contextos marcados pela diversidade - PRINT;ANA CRISTINA MARINHO LUCIO
UDESC;MATMAP;CARLOS ROBERTO DE ROLT
UDESC;MATMAP;CARLOS ROBERTO DE ROLT
UNIVASSOURAS;Desenvolvimento de Dispositivo Portátil Autônomo para Drenagem de Efusões Cavitárias na Prática Clínica Veterinária Individual.;MARIO DOS SANTOS FILHO
UDESC;Desenvolvimento de um sistema de Condition Monitoring para máquinas CNC.;RICARDO DE MEDEIROS
UFCG;Dell GICC AIOps Adaptive Observability;CARLOS EDUARDO SANTOS PIRES
UNIVASSOURAS;Desenvolvimento de software com check-list para procedimentos operacionais em avaliações pré-operatórias.;MARIO DOS SANTOS FILHO
FEMPAR;BIOLOGIA DO CÂNCER INFANTIL E ONCOLOGIAPEDIÁTRICA - INCT BioOncoPed;GUSTAVO RASSIER ISOLAN
UFPA;Protocolo de Nutrição e de alimentação de formas jovens de Pirarucu (Aquitech - Aquicultura com tecnologia e sustentabilidade);ROSSINEIDE MARTINS DA ROCHA
FEMPAR;DESENVOLVIMENTO DE DISPOSITIVO DE ASSISTÊNCIA CIRCULATÓRIA MECÂNICA (CORAÇÃO ARTIFICIAL) COM TECNOLOGIA DE CONTROLE 5G.;LUIZ FERNANDO KUBRUSLY
UNIFESP;Sistemas Cognitivos Artificiais e Robótica Social;WALTER TEIXEIRA LIMA JUNIOR
FURB;387/2023 Diagnóstico e Avaliação de Desempenho para o Município de Blumenau;MARCIA ZANIEVICZ DA SILVA
USP;PROJETO AMBIENTE VIRTUAL DE IMERSÃO (LABORATÓRIO DIDÁTICO DE REALIDADE AUMENTADA) APLICADO AO PROJETO INTEGRADO DE INFRAESTRUTURA DE TRANSPORTES (FASE 2);CLAUDIO LUIZ MARTE
UFES;Aproveitamento do resíduo do bagaço da cana-de-açúcar para a produção de fios biodegradáveis;JORDAO CABRAL MOULIN
UFRN;DISSEMINAÇÃO DO ENSINO DE MATEMÁTICA POR MEIO DA PLATAFORMA OBAMA: INOVAÇÃO, FORMAÇÃO E COLABORAÇÃO;DENNYS LEITE MAIA
UFCG;SSIP - Secure and Scalable Identity Provisioning;ANDREY ELISIO MONTEIRO BRITO
USP;AMBIENTE VIRTUAL DE IMERSÃO (LABORATÓRIO DIDÁTICO DE REALIDADE AUMENTADA) APLICADO AO PROJETO INTEGRADO DE INFRAESTRUTURA DE TRANSPORTES (FASE 1);CLAUDIO LUIZ MARTE
UFBA;SOCIAL CONCRETE: Towards a new Paradigm of Construction;SERGIO KOPINSKI EKERMAN
UFABC;Wendel Andrade Alves;WENDEL ANDRADE ALVES
UFOPA;Óleos essenciais de plantas da região Oeste do Pará: prospecção química e atividade anticolinesterásica;ROSA HELENA VERAS MOURAO
UFCG;QAP Virtual Assistant;DANILO FREIRE DE SOUZA SANTOS
UFT;2.32  Cesta Básica e Salário Mínimo Necessário em Palmas-TO;AUTENIR CARVALHO DE REZENDE
