Ecossistema;Startup
Sul;Bioproduto Multifuncional
Sul;BIOSCIENT
Sul;Captur
Sul;CARRINHO PRESSURIZADOR DE BOLAS
Sul;Catavento Meteorologia e Meio Ambiente Ltda
Sul;ChatLabs
Sul;ChromaAnalytica
Sul;Composta SãoLou Compostagem Urbana
Sul;CONECTA - ALEXANDER DE ANDRADE CARVALHO
Sul;CONLAB - ROGER PULS FRANZ
Sul;DEEP PIXEL
Sul;Demetec Agro
Sul;Destine Aqui
Sul;Dimensio
Sul;Donamaid
Sul;Ecominhocas
Sul;FÁBRICA-B
Sul;FÁCIL CONSULTA
Sul;Farmbox
Sul;Freecash
Sul;GESTA+
Sul;Gestão boa
Sul;Green Next
Sul;Habitta
Sul;HELPER
Sul;I9MAT INOVAÇÕES EM NANOTECNOLOGIA LTDA
Sul;ICANEO IT
Sul;IGniS ANIMAL SCIENCE
Sul;INEPHRO
Sul;Magen
Sul;MATEUS BUENO BENDJOUYA
Sul;ME GUSTA
Sul;Medeiros Ventures Inova Simples (I.S.)
Sul;MONTE SIÃO CONSTRUÇÕES PARTICIPAÇÕES E SERVIÇOS
Sul;Nesos
Sul;Nossa Memória
Sul;Nosso Núcleo
Sul;NUI INSECT SCIENCE BIOINSUMOS E BIOTECNOLOGIA LTDA
Sul;Orça
Sul;Orpee Integrativa
Sul;PARTAMON SOLUÇÕES INTEGRADAS PARA MANEJO DE PRAGAS
Sul;PETIOS
Sul;Pipar
Sul;Pressurizador de bolas de esporte de raquete
Sul;ProtocoloDoc
Sul;Pulso do Mercado
Sul;PURE-AGUÁ MINERAL SUSTENTÁVEL
Sul;QUIRES
Sul;RASS TECH
Sul;Rematefy
Sul;REVEMARK BRASIL LTDA
Sul;RS BIOACTIVES
Sul;SATOMED
Sul;Save Health
Sul;Scallar
Sul;ScanFood
Sul;Shortcut
Sul;Sigales
Sul;Sofiq AI Lab
Sul;SouPlenus
Sul;STARBOARD ESTIBORDO TECNOLOGIA
Sul;TCB Pesquisa e Inovação
Sul;TELEDOC JOURNEY MEDICAL
Sul;TerraMares
Sul;THE BUSINESS FINANCE LTDA
Sul;Triativa Alimentos
Sul;Two Cats
Sul;UniNVEST ENERGIAS RENOVÁVEIS
Sul;Veat Proteínas Sustentáveis
Sul;Workly
Sul;Zelle Serviços de Tecnologia LTDA
Sul;ZUQUEONE SERVIÇOS TECNOLÓGICOS E EDUCACIONAIS LTDA
Vales;3D Cap
Vales;4Care Technology
Vales;Accore Automação - Projeto ByCrop
Vales;Agcontrol - Solucoes Biologicas
Vales;Alfa Sistemas
Vales;ALGEN TRATAMENTO DE EFLUENTES
Vales;ALVAP ENGENHARIA LTDA
Vales;APECATUS
Vales;Aplicare
Vales;Archipro
Vales;Armazém.LZ
Vales;AWISE
Vales;Barbosa & Manske Consultoria e Gestão
Vales;Bene Sole
Vales;Bi Machine
Vales;BIOGEN Soluções Biotecnológicas
Vales;Canabem
Vales;Catfish Engenharia
Vales;CLINICA EXPERTS LTDA
Vales;Clubo Telefonia Móvel Ltda
Vales;Collab Eduação e Acessibilidade Ltda
Vales;Colono Forte
Vales;CONTEL TELECOM
Vales;Corujas
Vales;Criação.cc
Vales;Damaros
Vales;DATA4COMPANY
Vales;Delphos Engenharia e Consultoria em Energia Renováveis Ltda
Vales;Demander - Gestão Comercial
Vales;Digitalis Marketing Ltda
Vales;DokaLab CX
Vales;EasyAg Desenvolvimento de Software Ltda
Vales;Ecco Soma - SIC-PVDG Connect Energy
Vales;ecoyá
Vales;Elis Vargas Libras e Comunicação Ltda
Vales;entomos
Vales;EvcomX
Vales;evove erp
Vales;Faksanto Entretenimento
Vales;Fermenta Biotecnologia
Vales;Filial Digital
Vales;Flowy data solution
Vales;Gestor RP Controles Pecuarios LTDA
Vales;HARPIA
Vales;Hive Data
Vales;Hub - fábrica/bolsa de franquias
Vales;Inoculla Tech - Pesquisa e Desenvolvimento Experimental em Ciências Naturais Ltda
Vales;Inova 531 - Inovação e gestão
Vales;Inovabee
Vales;Inspetor Caranga
Vales;INTERACT SOLUTIONS
Vales;Itineo
Vales;Jahde
Vales;Kinesens Biotecnologia
Vales;Legacy 360
Vales;Libras em Primeiro Ltda
Vales;LimbX
Vales;Limit
Vales;Macro Spaces
Vales;Maestro
Vales;Meu Jurídico
Vales;MEURESIDUO
Vales;Michele Regina Bartz Garcia
Vales;Motoreasy
Vales;Mova se - Cadeira de Roda com Escala dianteira removível
Vales;Mt Gestao Contabil
Vales;Muv.technology
Vales;Naturgotas
Vales;Nervis Engenharia Ltda
Vales;Olímpia Educação
Vales;onAgro
Vales;Pivot contabilidade
Vales;PIXAPAY TECNOLOGIA DE PAGAMENTOS LTDA
Vales;Plantar Juntos
Vales;PMETRIC SYSTEM
Vales;Podange Smart Wear
Vales;PRIME ENGENHARIA INOVA SIMPLES (I.S.)
Vales;Próbios Agroindústria de Derivados Lácteos
Vales;Prontu
Vales;Prontu Saúde
Vales;Protege Química Comércio de EPIs LTDA
Vales;QODO SOLUCOES SUSTENTAVEIS
Vales;Qualy Vida Temperos
Vales;QualyFull - Autocontrole Digital
Vales;Recic
Vales;Recompen$a
Vales;ResiGo
Vales;Resoluto
Vales;SAFE CITY
Vales;SOHR TECH FOR BUSINESS
Vales;STI SOFT
Vales;Suitable
Vales;Sulengtéc
Vales;Supernova Filmes Ltda
Vales;Syntalgae
Vales;Tomasi Rede Logística
Vales;Tulz Solutions
Vales;Turismo dos Vales
Vales;UniPROVAS
Vales;UniTEG
Vales;Valores do RS
Vales;Visão i
Vales;VR ORIENTAÇÃO NUTRICIONAL
Vales;Web Jasper Tecnologia e Consultoria
Vales;Wo Design
Vales;WWTC Brasil
Vales;Yumu
